회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
현대오일뱅크(주),화학·에너지·환경,"20조 3,188억 5,460만원","1,783명 재직중",8.3,8.8,5.7,5.0,357
한국통운(주),물류·운송·배송,2700억,155명 재직중,7.9,6.0,8.2,1.8,254
대한무역투자진흥공사,공기업·공공기관,"4,626억 7,590만원",720명 재직중,8.1,8.7,5.7,3.3,349
강남제비스코㈜,화학·에너지·환경,"2,968억 3,599만원",666명 재직중,7.6,7.9,7.7,3.9,310
삼진제약㈜,제약·보건·바이오,"2,500억 7,035만원",699명 재직중,7.5,7.7,7.6,2.4,245
쿠쿠홀딩스,전기·전자·제어,1조원,"1,300명 재직중",8.1,8.3,5.7,3.4,275
AJ 네트웍스,렌탈·임대·리스,"4,855억 2,371만원",500명 재직중,7.9,8.1,8.4,3.9,303
(주)영풍,금속·재료·자재,2조 6153억,687명 재직중,7.6,7.7,5.5,4.0,238
(주)이스트소프트,솔루션·SI·CRM·ERP,896억,170명 재직중,8.1,8.1,6.2,4.5,276
㈜연합인포맥스,신문·잡지·언론사,"469억 8,346만원",189명 재직중,7.9,8.0,4.6,3.1,266
현대엔지니어링(주),건설·시공·토목·조경,7조 3천억,"5,755명 재직중",8.1,8.7,6.0,4.2,312
SK네트웍스(주),무역·상사,"8조 1,524억 6,700만원","1,553명 재직중",8.3,9.0,4.8,5.4,299
한국미쓰이물산㈜,무역·상사,"925억 9,571만원",106명 재직중,8.2,7.8,7.1,2.9,415
E1,백화점·유통·도소매,"4조 7,326억 9,878만원",298명 재직중,8.3,9.0,6.5,5.8,364
㈜호텔롯데 롯데월드,스포츠·여가·레저,"1,500명 재직중",무역·상사,8.0,8.4,7.3,5.3,338
(주)아이마켓코리아,"2조 3,534억 7,384만원",427명 재직중,음식료·외식·프랜차이즈,7.9,8.1,6.1,1.2,238
케이에프씨코리아,"2,099억 1,592만원",593명 재직중,제약·보건·바이오,7.6,8.7,7.3,4.1,270
이연제약(주),"1,428억 136만원",500명 재직중,컴퓨터·하드웨어·장비,7.4,8.1,5.2,1.0,197
한국정보공학(주),1500억,75명 재직중,공기업·공공기관,7.5,7.5,7.9,2.1,255
DAP,전기·전자·제어,"3,078억 9,691만원","1,010명 재직중",7.6,7.6,8.2,1.8,246
㈜현진스포텍,섬유·의류·패션,"1,657억",110명 재직중,8.0,9.0,6.0,3.0,384
KB손해보험,증권·보험·카드,"14조 668억 7,989만원","3,057명 재직중",8.0,8.3,5.2,1.3,255
(주)LG화학,화학·에너지·환경,"20조 4,710억 4,400만원","13,949명 재직중",8.4,8.6,5.1,3.9,327
한국원자력통제기술원,공기업·공공기관,"246억 3,939만원",101명 재직중,7.8,7.5,7.5,0.8,220
(주)이랜드이노플,IT컨설팅,334억 167만원,177명 재직중,8.3,8.2,5.8,3.7,264
유니퀘스트(주),금속·재료·자재,"5,857억 8만원",187명 재직중,7.9,7.9,4.4,1.9,278
㈜로보스타,기계·기계설비,"1,390억 569만원",228명 재직중,7.4,6.3,4.8,1.0,194
(주)보미건설,건설·시공·토목·조경,1629억,250명 재직중,7.8,6.6,9.0,2.4,264
삼성전기(주),전기·전자·제어,"6조 8,384억","34,374명 재직중",8.0,8.6,4.5,1.7,283
(주)정원엔시스,컴퓨터·하드웨어·장비,"1,357억 5,330만원",133명 재직중,7.7,7.5,8.2,1.5,247
한국지능정보사회진흥원,공기업·공공기관,"1조 5,754억 4,270만원",441명 재직중,7.8,8.1,7.1,3.1,264
한국투자증권(주),은행·금융,"12조 1,812억 1,832만원","2,870명 재직중",8.0,8.3,6.9,2.8,291
㈜신한DS,솔루션·SI·CRM·ERP,"2,389억 3,362만원",935명 재직중,7.7,7.9,9.3,4.1,286
(주)스마일게이트엔터테인먼트,게임·애니메이션,7732억,"2,019명 재직중",7.8,8.2,4.9,2.4,245
나이스디앤비,컨설팅·연구·조사,"647억 1,654만원",368명 재직중,7.7,8.1,6.3,1.3,247
㈜KT,네트워크·통신서비스,"18조 3,874억 3,400만원","21,656명 재직중",8.1,8.5,6.5,5.2,330
(주)킨텍스,광고·홍보·전시,700억,113명 재직중,8.4,9.1,4.3,3.3,370
㈜보령,제약·보건·바이오,6000억,"1,432명 재직중",7.6,8.3,6.2,2.0,223
(주)가비아,네트워크·통신서비스,523억,291명 재직중,7.5,8.3,5.9,2.0,222
포스코홀딩스㈜,자동차·조선·철강·항공,"39조 9,202억 83만원","17,550명 재직중",8.2,8.8,5.4,4.6,346
